"","country","iso3","Year","Month","date","cases","source"
"4022","Suriname","SUR",2026,2,2026-02-01,133,"PAHO"
"4023","Suriname","SUR",2026,3,2026-03-01,85,"PAHO"
"4024","Suriname","SUR",2026,4,2026-04-01,96,"PAHO"
"4025","Suriname","SUR",2026,5,2026-05-01,4,"PAHO"
"4026","Suriname","SUR",2026,6,2026-06-01,NA,NA
"4027","Suriname","SUR",2026,7,2026-07-01,NA,NA
"4028","Suriname","SUR",2026,8,2026-08-01,NA,NA
"4029","Suriname","SUR",2026,9,2026-09-01,NA,NA
"4030","Suriname","SUR",2026,10,2026-10-01,NA,NA
"4031","Suriname","SUR",2026,11,2026-11-01,NA,NA
"4032","Suriname","SUR",2026,12,2026-12-01,NA,NA
"4033","Sweden","SWE",2025,1,2025-01-01,0,"WHO"
"4034","Sweden","SWE",2025,2,2025-02-01,0,"WHO"
"4035","Sweden","SWE",2025,3,2025-03-01,0,"WHO"
"4036","Sweden","SWE",2025,4,2025-04-01,0,"WHO"
"4037","Sweden","SWE",2025,5,2025-05-01,0,"WHO"
"4038","Sweden","SWE",2025,6,2025-06-01,0,"WHO"
"4039","Sweden","SWE",2025,7,2025-07-01,0,"WHO"
"4040","Sweden","SWE",2025,8,2025-08-01,0,"WHO"
"4041","Sweden","SWE",2025,9,2025-09-01,0,"WHO"
"4042","Sweden","SWE",2025,10,2025-10-01,0,"WHO"
"4043","Sweden","SWE",2025,11,2025-11-01,0,"WHO"
"4044","Sweden","SWE",2025,12,2025-12-01,0,"WHO"
"4045","Sweden","SWE",2026,1,2026-01-01,0,"WHO"
"4046","Sweden","SWE",2026,2,2026-02-01,0,"WHO"
"4047","Sweden","SWE",2026,3,2026-03-01,0,"WHO"
